# Single SKU Max Power Table                                                      
# 2.4G Channel CCK    OFDM        VHT20          VHT40          Txstream_Delta                     
Band: 2.4G CCK_1M CCK_2M CCK_5.5M CCK_11M OFDM_6M OFDM_9M OFDM_12M OFDM_18M OFDM_24M OFDM_36M OFDM_48M OFDM_54M VHT20_MCS0 VHT20_MCS1 VHT20_MCS2 VHT20_MCS3 VHT20_MCS4 VHT20_MCS5 VHT20_MCS6 VHT20_MCS7 VHT20_MCS8 VHT20_MCS9 VHT40_MCS0 VHT40_MCS1 VHT40_MCS2 VHT40_MCS3 VHT40_MCS4 VHT40_MCS5 VHT40_MCS6 VHT40_MCS7 VHT40_MCS8 VHT40_MCS9 Txstream_3T Txstream_2T Txstream_1T                   
Ch1 9  9  12  12  12  12 12 11 11  11  11  11 11 11 12 12  12  12  12 12 12 0 0 0 0 0 0 0                   
Ch2 9  9  12  12  12  12 12 11 11  11  11  11 11 11 12 12  12  12  12 12 12 0 0 0 0 0 0 0                   
Ch3 9  9  12  12  12  12 12 11 11  11  11  11 11 11 12 12  12  12  12 12 12 0 0 0 0 0 0 0                   
Ch4 9  9  12  12  12  12 12 11 11  11  11  11 11 11 12 12  12  12  12 12 12 0 0 0 0 0 0 0                   
Ch5 9  9  12  12  12  12 12 11 11  11  11  11 11 11 12 12  12  12  12 12 12 0 0 0 0 0 0 0                   
Ch6 9  9  12  12  12  12 12 11 11  11  11  11 11 11 12 12  12  12  12 12 12 0 0 0 0 0 0 0                   
Ch7 9  9  12  12  12  12 12 11 11  11  11  11 11 11 12 12  12  12  12 12 12 0 0 0 0 0 0 0                   
Ch8 9  9  12  12  12  12 12 11 11  11  11  11 11 11 12 12  12  12  12 12 12 0 0 0 0 0 0 0                   
Ch9 9  9  12  12  12  12 12 11 11  11  11  11 11 11 12 12  12  12  12 12 12 0 0 0 0 0 0 0                   
Ch10 9  9  12  12  12  12 12 11 11  11  11  11 11 11 12 12  12  12  12 12 12 0 0 0 0 0 0 0                   
Ch11 9  9  12  12  12  12 12 11 11  11  11  11 11 11 12 12  12  12  12 12 12 0 0 0 0 0 0 0                   
Ch12 9  9  12  12  12  12 12 11 11  11  11  11 11 11 12 12  12  12  12 12 12 0 0 0 0 0 0 0                   
Ch13 9  9  12  12  12  12 12 11 11  11  11  11 11 11 12 12  12  12  12 12 12 0 0 0 0 0 0 0                   
Ch14 9  9  12  12  12  12 12 11 11  11  11  11 11 11 12 12  12  12  12 12 12 0 0 0 0 0 0 0                   
                                                      
# 5G Channel OFDM        VHT20          VHT40          VHT80          VHT160          Txstream_Delta     
Band: 5G OFDM_6M OFDM_9M OFDM_12M OFDM_18M OFDM_24M OFDM_36M OFDM_48M OFDM_54M VHT20_MCS0 VHT20_MCS1 VHT20_MCS2 VHT20_MCS3 VHT20_MCS4 VHT20_MCS5 VHT20_MCS6 VHT20_MCS7 VHT20_MCS8 VHT20_MCS9 VHT40_MCS0 VHT40_MCS1 VHT40_MCS2 VHT40_MCS3 VHT40_MCS4 VHT40_MCS5 VHT40_MCS6 VHT40_MCS7 VHT40_MCS8 VHT40_MCS9 VHT80_MCS0 VHT80_MCS1 VHT80_MCS2 VHT80_MCS3 VHT80_MCS4 VHT80_MCS5 VHT80_MCS6 VHT80_MCS7 VHT80_MCS8 VHT80_MCS9 VHT160_MCS0 VHT160_MCS1 VHT160_MCS2 VHT160_MCS3 VHT160_MCS4 VHT160_MCS5 VHT160_MCS6 VHT160_MCS7 VHT160_MCS8 VHT160_MCS9 Txstream_3T Txstream_2T Txstream_1T   
Ch36 7  7  7  7 7 6 6  6  6  6 6 6 8 8  8  8  8 8 8 11 11  11  11  11 11 11 11 11  11  11  11 11 11 0 0 0 0 0 0 0   
Ch40 7  7  7  7 7 6 6  6  6  6 6 6 8 8  8  8  8 8 8 11 11  11  11  11 11 11 11 11  11  11  11 11 11 0 0 0 0 0 0 0   
Ch44 7  7  7  7 7 6 6  6  6  6 6 6 5 5  5  5  5 5 5 11 11  11  11  11 11 11 11 11  11  11  11 11 11 0 0 0 0 0 0 0   
Ch48 1  1  1  1 1 0 0  0  0  0 0 0 5 5  5  5  5 5 5 11 11  11  11  11 11 11 11 11  11  11  11 11 11 0 0 0 0 0 0 0   
Ch52 1  1  1  1 1 0 0  0  0  0 0 0 5 5  5  5  5 5 5 11 11  11  11  11 11 11 11 11  11  11  11 11 11 0 0 0 0 0 0 0   
Ch56 1  1  1  1 1 0 0  0  0  0 0 0 5 5  5  5  5 5 5 11 11  11  11  11 11 11 11 11  11  11  11 11 11 0 0 0 0 0 0 0   
Ch60 1  1  1  1 1 0 0  0  0  0 0 0 5 5  5  5  5 5 5 11 11  11  11  11 11 11 11 11  11  11  11 11 11 0 0 0 0 0 0 0   
Ch64 1  1  1  1 1 0 0  0  0  0 0 0 5 5  5  5  5 5 5 11 11  11  11  11 11 11 11 11  11  11  11 11 11 0 0 0 0 0 0 0   
Ch136 4  4  4  4 4 2 2  2  2  2 2 2 3 3  3  3  3 3 3 6 6  6  6  6 6 6 7 7  7  7  7 7 7 0 0 0 0 0 0 0   
Ch140 4  4  4  4 4 2 2  2  2  2 2 2 3 3  3  3  3 3 3 6 6  6  6  6 6 6 7 7  7  7  7 7 7 0 0 0 0 0 0 0   
Ch144 4  4  4  4 4 2 2  2  2  2 2 2 3 3  3  3  3 3 3 6 6  6  6  6 6 6 7 7  7  7  7 7 7 0 0 0 0 0 0 0   
Ch149 4  4  4  4 4 2 2  2  2  2 2 2 3 3  3  3  3 3 3 6 6  6  6  6 6 6 7 7  7  7  7 7 7 0 0 0 0 0 0 0   
Ch153 4  4  4  4 4 2 2  2  2  2 2 2 3 3  3  3  3 3 3 6 6  6  6  6 6 6 7 7  7  7  7 7 7 0 0 0 0 0 0 0   
Ch157 4  4  4  4 4 2 2  2  2  2 2 2 3 3  3  3  3 3 3 6 6  6  6  6 6 6 7 7  7  7  7 7 7 0 0 0 0 0 0 0   
Ch161 4  4  4  4 4 2 2  2  2  2 2 2 3 3  3  3  3 3 3 6 6  6  6  6 6 6 7 7  7  7  7 7 7 0 0 0 0 0 0 0   
Ch165 4  4  4  4 4 2 2  2  2  2 2 2 3 3  3  3  3 3 3 6 6  6  6  6 6 6 7 7  7  7  7 7 7 0 0 0 0 0 0 0   
Ch169 4  4  4  4 4 2 2  2  2  2 2 2 3 3  3  3  3 3 3 6 6  6  6  6 6 6 7 7  7  7  7 7 7 0 0 0 0 0 0 0    
